Language,Share of Total,,,,,,,,
English,57.9%,,,,,,,,
Spanish,23.6%,,,,,,,,
Chinese (Unknown/Other),2.5%,,,,,,,,
Mandarin,2.3%,,,,,,,,
Bengali,2.2%,,,,,,,,
Russian,1.6%,,,,,,,,
Arabic,1.6%,,,,,,,,
Chinese (Cantonese),1.3%,,,,,,,,
Urdu,1.0%,,,,,,,,
Haitian Creole,0.6%,,,,,,,,
Korean,0.5%,,,,,,,,
French,0.4%,,,,,,,,
Polish,0.4%,,,,,,,,
Punjabi (aka Panjabi),0.4%,,,,,,,,
Albanian ,0.4%,,,,,,,,
Total,96.6%,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
