Grade,Total Number,Asian,Hispanic,Black,White,Mixed Race,Other,
Pre-K,521,0.017,0.482,0.418,0.058,0.015,0.010,
K,"10,761",0.030,0.354,0.539,0.056,0.010,0.010,
1,"10,919",0.025,0.355,0.546,0.056,0.011,0.007,
2,"10,605",0.026,0.336,0.564,0.052,0.012,0.010,
3,"8,694",0.027,0.339,0.575,0.041,0.009,0.009,
4,"7,244",0.025,0.317,0.590,0.040,0.006,0.021,
5,"7,860",0.027,0.327,0.601,0.031,0.005,0.009,
6,"9,046",0.024,0.379,0.542,0.039,0.004,0.013,
7,"7,529",0.028,0.375,0.546,0.035,0.005,0.012,
8,"6,151",0.027,0.368,0.550,0.042,0.005,0.008,
9,"5,883",0.015,0.451,0.483,0.022,0.003,0.027,
10,"4,430",0.014,0.455,0.485,0.024,0.003,0.019,
11,"3,436",0.012,0.435,0.510,0.026,0.002,0.015,
12,"2,604",0.014,0.464,0.487,0.021,0.003,0.011,
